0.60,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S
0.93,S,I,S,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S
0.53,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.00,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.63,S,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.39,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.95,S,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.09,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1.16,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.10,S,I,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.43,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.92,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1.44,S,S,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.59,S,I,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.35,S,S,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.19,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1.93,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
1.15,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
2.50,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.26,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1.38,S,S,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S
1.45,S,S,S,I,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.32,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.16,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.24,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S
0.09,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.34,S,S,S,S,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.38,S,S,S,I,S,S,S,I,S,S,S,S,S,S,S,S,S,S
0.55,S,S,S,I,S,S,S,I,S,S,S,S,S,S,I,S,S,S
0.35,S,S,S,I,S,S,S,S,S,S,S,S,S,S,I,S,S,S
0.47,S,S,S,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S
0.56,S,S,I,S,S,S,S,S,S,S,S,S,S,S,I,S,S,S
0.16,S,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.05,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.31,S,S,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.99,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.04,S,S,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.13,S,S,I,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S
0.26,S,S,S,I,S,S,S,S,S,S,S,S,S,S,S,S,S,S
